epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,42115.7,0.35112,0.24935,0.83548,0.99955,0.85985,0.92951,0.91862,0.26615,0.18359,0.81283,0.006535,0.006535,0.006535
72,42140.7,0.3564,0.25707,0.84375,0.99954,0.8332,0.91612,0.90788,0.26775,0.18991,0.817,0.0064855,0.0064855,0.0064855
73,42165.1,0.34764,0.2511,0.83798,0.99954,0.8332,0.9162,0.90784,0.2627,0.18085,0.81575,0.006436,0.006436,0.006436
74,42187,0.34845,0.24959,0.84134,0.99954,0.83784,0.91846,0.91025,0.26074,0.18475,0.81504,0.0063865,0.0063865,0.0063865
75,42203,0.34753,0.25119,0.83535,0.99911,0.86409,0.93154,0.92184,0.26275,0.18302,0.81642,0.006337,0.006337,0.006337
76,42218.9,0.34263,0.24729,0.8379,0.99955,0.85367,0.92637,0.91845,0.25496,0.17855,0.81178,0.0062875,0.0062875,0.0062875
77,42238.8,0.34718,0.24897,0.83816,0.99954,0.83861,0.91897,0.91129,0.25887,0.18204,0.8118,0.006238,0.006238,0.006238
78,42263.9,0.34573,0.24633,0.83852,0.99955,0.85251,0.92582,0.91678,0.25892,0.17944,0.81397,0.0061885,0.0061885,0.0061885
79,42289.2,0.34443,0.24443,0.83782,0.99954,0.84749,0.92329,0.91461,0.25532,0.17552,0.81342,0.006139,0.006139,0.006139
80,42314.6,0.34108,0.24135,0.83754,0.99955,0.85019,0.92468,0.91648,0.25482,0.17555,0.81144,0.0060895,0.0060895,0.0060895
81,42339,0.33975,0.24235,0.8326,0.99955,0.86641,0.93272,0.92354,0.25446,0.17639,0.8122,0.00604,0.00604,0.00604
82,42365.3,0.34052,0.24315,0.83812,0.99955,0.85058,0.9249,0.91706,0.25607,0.17686,0.81071,0.0059905,0.0059905,0.0059905
83,42391.9,0.3376,0.24144,0.83328,0.99954,0.83861,0.91886,0.91099,0.25747,0.17794,0.81329,0.005941,0.005941,0.005941
84,42418.5,0.33417,0.23876,0.8328,0.99954,0.83398,0.91656,0.90982,0.25149,0.17373,0.81081,0.0058915,0.0058915,0.0058915
85,42444.4,0.33458,0.24214,0.83329,0.99955,0.8529,0.92609,0.9184,0.24983,0.1744,0.80858,0.005842,0.005842,0.005842
86,42471.3,0.34039,0.24282,0.83541,0.99955,0.85328,0.92622,0.9183,0.24783,0.17152,0.81131,0.0057925,0.0057925,0.0057925
87,42495.5,0.33906,0.23859,0.83425,0.99955,0.85985,0.92952,0.92138,0.24975,0.1738,0.80987,0.005743,0.005743,0.005743
88,42519.6,0.33377,0.23543,0.83442,0.99955,0.85405,0.92655,0.91781,0.25202,0.17338,0.80946,0.0056935,0.0056935,0.0056935
89,42543.9,0.33313,0.23953,0.83466,0.99908,0.83436,0.91675,0.90979,0.24681,0.17506,0.81225,0.005644,0.005644,0.005644
90,42568,0.33074,0.23513,0.83237,0.99955,0.84826,0.92367,0.91585,0.24557,0.17268,0.81156,0.0055945,0.0055945,0.0055945
91,42592,0.32767,0.23654,0.82915,0.99956,0.86988,0.93457,0.92618,0.24489,0.16961,0.80853,0.005545,0.005545,0.005545
92,42616.7,0.33107,0.2349,0.83364,0.99955,0.85946,0.92931,0.92124,0.23872,0.16954,0.80551,0.0054955,0.0054955,0.0054955
93,42641.2,0.33413,0.23405,0.83373,0.99955,0.85058,0.92486,0.91778,0.24507,0.17043,0.81244,0.005446,0.005446,0.005446
94,42665.6,0.3302,0.23355,0.83345,0.99955,0.84942,0.92431,0.91735,0.24168,0.16888,0.81066,0.0053965,0.0053965,0.0053965
95,42690,0.32214,0.23072,0.83079,0.99864,0.85328,0.92611,0.91851,0.24344,0.1699,0.81197,0.005347,0.005347,0.005347
96,42714.7,0.32541,0.23139,0.83249,0.99956,0.87606,0.93754,0.92932,0.24563,0.16922,0.81116,0.0052975,0.0052975,0.0052975
97,42739.3,0.32226,0.22849,0.83263,0.99955,0.85058,0.9249,0.91762,0.23847,0.16545,0.8077,0.005248,0.005248,0.005248
98,42763.8,0.32466,0.23169,0.83455,0.99955,0.86062,0.92993,0.92218,0.24217,0.16482,0.80891,0.0051985,0.0051985,0.0051985
99,42789.2,0.32883,0.2296,0.83178,0.99955,0.85676,0.92796,0.92185,0.237,0.16469,0.80528,0.005149,0.005149,0.005149
100,42815.1,0.32918,0.23649,0.83442,0.99956,0.88031,0.93977,0.93081,0.23786,0.16745,0.80668,0.0050995,0.0050995,0.0050995
101,42841,0.32118,0.22981,0.83184,0.99955,0.86718,0.93311,0.92458,0.23984,0.16451,0.80731,0.00505,0.00505,0.00505
102,42866.4,0.31875,0.22657,0.83397,0.99956,0.87259,0.93585,0.92723,0.24456,0.16789,0.80928,0.0050005,0.0050005,0.0050005
103,42891.5,0.3187,0.22674,0.82776,0.99955,0.86371,0.9315,0.92423,0.23669,0.16412,0.80319,0.004951,0.004951,0.004951
